experiment_time,train_batch,val_check_interval,lr,warmup_step,dropout_rate,layer_count,head_count,dim_model,dim_ff,seq_len,best_val_auc,best_step,test_auc
2021-02-01 10:53:46.756140,100,0.5,0.001,4000,0.2,2,10,200,256,200,0.7153883656748135,2855,0.7146224223860511
2021-02-01 11:05:48.164487,100,0.5,0.001,4000,0.2,2,5,200,256,200,0.7149211141488163,2957,0.7142272159273656
2021-02-01 11:17:05.533219,100,0.5,0.001,4000,0.2,2,1,200,256,200,0.7144284539946404,2804,0.7144412883919647
2021-02-01 11:34:52.064087,100,0.5,0.001,4000,0.2,2,10,100,256,200,0.7145858881700179,3365,0.7142971053901891
2021-02-01 11:46:52.635179,100,0.5,0.001,4000,0.2,2,5,100,256,200,0.7150524344834263,3059,0.7142635729627738
2021-02-01 11:57:55.623628,100,0.5,0.001,4000,0.2,2,1,100,256,200,0.7156184424157753,2957,0.7146171744804908
2021-02-01 12:18:24.278677,100,0.5,0.001,4000,0.2,2,10,50,256,200,0.7140877671534062,4793,0.7135000624052273
2021-02-01 12:40:57.711210,50,0.5,0.001,4000,0.2,2,10,200,800,200,0.7134544828470871,3059,0.7115632592251564
2021-02-01 12:50:55.732582,50,0.5,0.001,4000,0.2,2,5,200,800,200,0.712870876912807,3161,0.7124814359272365
2021-02-01 12:59:14.767661,50,0.5,0.001,4000,0.2,2,1,200,800,200,0.7138528004093951,3059,0.7121410364449696
2021-02-01 13:14:39.428966,50,0.5,0.001,4000,0.2,2,10,100,400,200,0.7155243509566866,5405,0.7151585394774318
2021-02-01 13:29:48.792849,100,0.5,0.001,4000,0.2,2,10,200,800,200,0.7157214159253829,2243,0.7143692694793378
2021-02-01 13:39:04.358005,100,0.5,0.001,4000,0.2,2,5,200,800,200,0.7160138659987692,2447,0.715097063554655
2021-02-01 13:53:18.981412,100,0.5,0.001,4000,0.2,2,1,200,800,200,0.7154764804005208,2447,0.7149772852067084
2021-02-01 14:18:58.276786,100,0.5,0.001,4000,0.2,2,10,100,400,200,0.7143229153025848,4079,0.7138197609095231
2021-02-01 14:43:10.450655,100,0.5,0.001,4000,0.2,2,5,100,400,200,0.7156930078761362,4079,0.7155670637341904
2021-02-01 15:03:29.796232,100,0.5,0.001,4000,0.2,2,1,100,400,200,0.7164521369154595,3569,0.7156060604486216
2021-02-01 15:32:01.749812,100,0.5,0.001,4000,0.2,2,10,50,200,200,0.7146893225621294,4232,0.7137594982372768
2021-02-01 15:56:25.519085,100,0.5,0.001,4000,0.2,2,5,50,200,200,0.7148495832567747,3671,0.7136607170448794
2021-02-01 16:21:25.616400,100,0.5,0.001,4000,0.2,2,1,50,200,200,0.71624280725676,3722,0.7138085961506183
2021-02-01 16:42:04.508816,100,0.5,0.001,4000,0.2,1,10,200,800,200,0.7147553937255173,2855,0.7151722033984658
2021-02-01 17:00:17.730053,100,0.5,0.001,4000,0.2,1,5,200,800,200,0.7147011700202475,2906,0.7146275887481288
2021-02-01 17:15:01.940285,100,0.5,0.001,4000,0.2,1,1,200,800,200,0.7108976541069212,2141,0.7109406179461102
2021-02-01 17:39:34.489986,100,0.5,0.001,4000,0.2,1,10,100,400,200,0.7136921241835378,3365,0.7133594626570596
2021-02-01 17:59:52.922617,100,0.5,0.001,4000,0.2,1,5,100,400,200,0.7138288129773265,3059,0.7142230060994619
2021-02-01 18:19:12.960299,100,0.5,0.001,4000,0.2,1,1,100,400,200,0.7131033413992873,3059,0.7134364557221267
