,Unnamed: 1,auc,count,dataset,diff_threshold,freq,model,test_type,time,top,unique
all,all,0.8423018065034045,7400,spanish,0.0,4203.0,saint,insertion,2021-02-04 05:32:38,True,2
is_perturbed,-1.0,,3700,spanish,0.0,2167.0,saint,insertion,2021-02-04 05:32:38,True,2
is_perturbed,0.0,,0,spanish,0.0,,saint,insertion,2021-02-04 05:32:38,,0
is_perturbed,1.0,,3700,spanish,0.0,2036.0,saint,insertion,2021-02-04 05:32:38,True,2
"('all', 'all')",,0.8430609418929177,7263,spanish,0.0,5561.0,saint,deletion,2021-02-04 05:32:49,True,2
"('is_perturbed', -1.0)",,,4676,spanish,0.0,3539.0,saint,deletion,2021-02-04 05:32:49,True,2
"('is_perturbed', 0.0)",,,0,spanish,0.0,,saint,deletion,2021-02-04 05:32:49,,0
"('is_perturbed', 1.0)",,,2587,spanish,0.0,2022.0,saint,deletion,2021-02-04 05:32:49,True,2
"('all', 'all')",,0.8407206309496558,7299,spanish,0.0,6850.0,saint,replacement,2021-02-04 05:33:00,True,2
"('is_perturbed', -1.0)",,,4699,spanish,0.0,4310.0,saint,replacement,2021-02-04 05:33:00,True,2
"('is_perturbed', 0.0)",,,0,spanish,0.0,,saint,replacement,2021-02-04 05:33:00,,0
"('is_perturbed', 1.0)",,,2600,spanish,0.0,2540.0,saint,replacement,2021-02-04 05:33:00,True,2
"('all', 'all')",,0.8292220427687835,10302,statics,0.0,5698.0,saint,insertion,2021-02-04 05:46:15,True,2
"('is_perturbed', -1.0)",,,5151,statics,0.0,2939.0,saint,insertion,2021-02-04 05:46:15,True,2
"('is_perturbed', 0.0)",,,0,statics,0.0,,saint,insertion,2021-02-04 05:46:15,,0
"('is_perturbed', 1.0)",,,5151,statics,0.0,2759.0,saint,insertion,2021-02-04 05:46:15,True,2
"('all', 'all')",,0.8312204274444702,10225,statics,0.0,7856.0,saint,deletion,2021-02-04 05:46:26,True,2
"('is_perturbed', -1.0)",,,7205,statics,0.0,5544.0,saint,deletion,2021-02-04 05:46:26,True,2
"('is_perturbed', 0.0)",,,0,statics,0.0,,saint,deletion,2021-02-04 05:46:26,,0
"('is_perturbed', 1.0)",,,3020,statics,0.0,2312.0,saint,deletion,2021-02-04 05:46:26,True,2
"('all', 'all')",,0.8309669153913914,10295,statics,0.0,8607.0,saint,original,2021-02-04 05:46:41,True,2
"('correct', 0)",,,1977,statics,0.0,1408.0,saint,original,2021-02-04 05:46:41,False,2
"('correct', 1)",,,8318,statics,0.0,8038.0,saint,original,2021-02-04 05:46:41,True,2
"('all', 'all')",,0.7106658139199064,25222,ednet_small,0.0,19199.0,saint,insertion,2021-02-04 05:48:17,True,2
"('is_perturbed', -1.0)",,,12611,ednet_small,0.0,9718.0,saint,insertion,2021-02-04 05:48:17,True,2
"('is_perturbed', 0.0)",,,0,ednet_small,0.0,,saint,insertion,2021-02-04 05:48:17,,0
"('is_perturbed', 1.0)",,,12611,ednet_small,0.0,9481.0,saint,insertion,2021-02-04 05:48:17,True,2
"('all', 'all')",,0.7167459678007575,23544,ednet_small,0.0,20277.0,saint,deletion,2021-02-04 05:49:26,True,2
"('is_perturbed', -1.0)",,,14018,ednet_small,0.0,11893.0,saint,deletion,2021-02-04 05:49:26,True,2
"('is_perturbed', 0.0)",,,0,ednet_small,0.0,,saint,deletion,2021-02-04 05:49:26,,0
"('is_perturbed', 1.0)",,,9526,ednet_small,0.0,8384.0,saint,deletion,2021-02-04 05:49:26,True,2
"('all', 'all')",,0.7163133653817801,24594,ednet_small,0.0,16242.0,saint,original,2021-02-04 05:49:42,True,2
"('correct', 0)",,,11079,ednet_small,0.0,5805.0,saint,original,2021-02-04 05:49:42,True,2
"('correct', 1)",,,13515,ednet_small,0.0,10437.0,saint,original,2021-02-04 05:49:42,True,2
"('all', 'all')",,0.7111687724801155,118996,assistments15,0.0,77751.0,saint,insertion,2021-02-04 05:59:35,True,2
"('is_perturbed', -1.0)",,,59498,assistments15,0.0,42695.0,saint,insertion,2021-02-04 05:59:35,True,2
"('is_perturbed', 0.0)",,,0,assistments15,0.0,,saint,insertion,2021-02-04 05:59:35,,0
"('is_perturbed', 1.0)",,,59498,assistments15,0.0,35056.0,saint,insertion,2021-02-04 05:59:35,True,2
"('all', 'all')",,0.7172777088545497,114883,assistments15,0.0,93400.0,saint,deletion,2021-02-04 06:08:49,True,2
"('is_perturbed', -1.0)",,,82004,assistments15,0.0,65711.0,saint,deletion,2021-02-04 06:08:49,True,2
"('is_perturbed', 0.0)",,,0,assistments15,0.0,,saint,deletion,2021-02-04 06:08:49,,0
"('is_perturbed', 1.0)",,,32879,assistments15,0.0,27689.0,saint,deletion,2021-02-04 06:08:49,True,2
"('all', 'all')",,0.7174936251975181,117754,assistments15,0.0,87638.0,saint,original,2021-02-04 06:09:10,True,2
"('correct', 0)",,,32018,assistments15,0.0,26021.0,saint,original,2021-02-04 06:09:10,False,2
"('correct', 1)",,,85736,assistments15,0.0,81641.0,saint,original,2021-02-04 06:09:10,True,2
"('all', 'all')",,0.7374836001303909,33702,assistments17,0.0,19104.0,saint,insertion,2021-02-04 06:09:53,True,2
"('is_perturbed', -1.0)",,,16851,assistments17,0.0,9274.0,saint,insertion,2021-02-04 06:09:53,True,2
"('is_perturbed', 0.0)",,,0,assistments17,0.0,,saint,insertion,2021-02-04 06:09:53,,0
"('is_perturbed', 1.0)",,,16851,assistments17,0.0,9830.0,saint,insertion,2021-02-04 06:09:53,True,2
"('all', 'all')",,0.7393035926206621,33300,assistments17,0.0,25797.0,saint,deletion,2021-02-04 06:10:25,True,2
"('is_perturbed', -1.0)",,,13449,assistments17,0.0,10393.0,saint,deletion,2021-02-04 06:10:25,True,2
"('is_perturbed', 0.0)",,,0,assistments17,0.0,,saint,deletion,2021-02-04 06:10:25,,0
"('is_perturbed', 1.0)",,,19851,assistments17,0.0,15404.0,saint,deletion,2021-02-04 06:10:25,True,2
"('all', 'all')",,0.7400483685878358,33692,assistments17,0.0,23388.0,saint,original,2021-02-04 06:10:42,True,2
"('correct', 0)",,,20766,assistments17,0.0,16895.0,saint,original,2021-02-04 06:10:42,True,2
"('correct', 1)",,,12926,assistments17,0.0,6493.0,saint,original,2021-02-04 06:10:42,True,2
"('all', 'all')",,0.8277463439819595,10282,statics,0.0,9775.0,saint,replacement,2021-02-04 10:13:08,True,2
"('is_perturbed', -1.0)",,,7245,statics,0.0,6931.0,saint,replacement,2021-02-04 10:13:08,True,2
"('is_perturbed', 0.0)",,,0,statics,0.0,,saint,replacement,2021-02-04 10:13:08,,0
"('is_perturbed', 1.0)",,,3037,statics,0.0,2844.0,saint,replacement,2021-02-04 10:13:08,True,2
"('all', 'all')",,0.7096864376997003,117729,assistments15,0.0,113179.0,saint,replacement,2021-02-04 10:18:59,True,2
"('is_perturbed', -1.0)",,,84084,assistments15,0.0,80822.0,saint,replacement,2021-02-04 10:18:59,True,2
"('is_perturbed', 0.0)",,,0,assistments15,0.0,,saint,replacement,2021-02-04 10:18:59,,0
"('is_perturbed', 1.0)",,,33645,assistments15,0.0,32357.0,saint,replacement,2021-02-04 10:18:59,True,2
"('all', 'all')",,0.7364136572324825,33641,assistments17,0.0,27751,saint,replacement,2021-02-04 10:19:34,True,2
"('is_perturbed', -1.0)",,,13586,assistments17,0.0,11249,saint,replacement,2021-02-04 10:19:34,True,2
"('is_perturbed', 0.0)",,,0,assistments17,0.0,,saint,replacement,2021-02-04 10:19:34,,0
"('is_perturbed', 1.0)",,,20055,assistments17,0.0,16502,saint,replacement,2021-02-04 10:19:34,True,2
